City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Atuona,PF,-9.8,-139.03,77.74,80,29,22.82,light rain
84,Chaman,PK,30.92,66.45,66.31,22,0,3.36,clear sky
85,Lima,PE,-12.04,-77.03,64.4,77,90,10.29,overcast clouds
86,Dikson,RU,73.51,80.55,49.57,80,12,10.33,few clouds
87,Anloga,GH,5.79,0.9,77.0,88,20,13.87,few clouds
88,Winslow,US,35.02,-110.7,93.2,20,1,3.36,clear sky
89,Port Alfred,ZA,-33.59,26.89,58.19,68,4,6.49,clear sky
90,Hilo,US,19.73,-155.09,78.8,65,1,4.7,clear sky
91,Luderitz,NA,-26.65,15.16,56.79,75,0,9.82,clear sky
92,Bystryy Istok,RU,52.37,84.39,53.89,95,0,3.24,clear sky
93,Aklavik,CA,68.22,-135.01,50.0,66,40,3.36,scattered clouds
94,Beringovskiy,RU,63.05,179.32,50.59,85,98,12.55,light rain
95,Arraial Do Cabo,BR,-22.97,-42.03,78.8,69,0,23.04,clear sky
96,Ahipara,NZ,-35.17,173.17,51.87,86,9,6.78,clear sky
97,Hailar,CN,49.2,119.7,51.93,95,100,10.22,moderate rain
98,Hithadhoo,MV,-0.6,73.08,80.19,68,100,11.03,overcast clouds
99,Bethel,US,41.37,-73.41,82.99,54,75,8.05,broken clouds
100,Gbadolite,CD,4.28,21.02,72.9,94,100,3.18,moderate rain
101,Norman Wells,CA,65.28,-126.83,50.0,66,90,16.11,overcast clouds
102,Trincomalee,LK,8.57,81.23,80.44,75,90,10.31,overcast clouds
103,Wilmington,US,34.23,-77.94,93.99,55,1,8.05,clear sky
104,Samarai,PG,-10.62,150.67,78.15,87,86,11.97,moderate rain
105,Springdale,US,36.19,-94.13,91.4,49,20,11.41,few clouds
106,Hasaki,JP,35.73,140.83,77.0,100,20,4.7,few clouds
107,Los Llanos De Aridane,ES,28.66,-17.92,82.0,83,20,14.99,few clouds
108,Gijon,ES,43.54,-5.66,66.99,65,14,5.99,few clouds
109,Erzincan,TR,39.75,39.5,77.0,27,0,13.87,clear sky
110,Lorengau,PG,-2.02,147.27,82.99,76,66,11.83,light rain
111,Ixtapa,MX,20.7,-105.2,82.99,78,90,3.42,overcast clouds
112,Henties Bay,NA,-22.12,14.28,55.99,83,0,3.0,clear sky
113,Nardaran,AZ,40.56,50.01,69.8,73,22,2.3,few clouds
114,Hualmay,PE,-11.1,-77.61,67.64,67,13,11.18,few clouds
115,East London,ZA,-33.02,27.91,57.2,76,100,6.93,overcast clouds
116,La Ronge,CA,55.1,-105.28,59.0,82,90,9.17,overcast clouds
117,Kropotkin,RU,45.44,40.58,68.56,67,0,6.26,clear sky
118,Ewa Beach,US,21.32,-158.01,80.6,69,75,4.7,broken clouds
119,Tasiilaq,GL,65.61,-37.64,42.8,75,75,4.7,broken clouds
120,Kralendijk,BQ,12.15,-68.27,89.6,62,1,18.34,clear sky
121,Tazovskiy,RU,67.47,78.7,52.25,87,0,3.67,clear sky
122,Khatanga,RU,71.97,102.5,54.18,58,4,6.26,clear sky
123,Bastrop,US,32.76,-91.87,87.8,66,1,6.93,clear sky
